ID,business_id,city,state,postal_code,latitude,longitude,review_count,EthnicType,stars
117,ZVtjS8Hvq2a6SxHxlehPGg,Phoenix,AZ,85016,33.53083136,-112.0133682,159,Italian,4.5
118,wjf1uZNr6E4LQ0nUNHX5AA,Las Vegas,NV,89121,36.128693,-115.1091,66,Mexican,3.5
120,piHJq_NDrOh5SYk3AyQVOg,Phoenix,AZ,85018,33.50982558,-111.9870976,238,Japanese,3
124,Ekxhn3gyMfoXslnVxhZn3w,Las Vegas,NV,89108,36.195937,-115.227792,9,Mexican,3
125,4NfjvMzUG5rbkxtPg-8pkw,Phoenix,AZ,85020,33.5386355,-112.0483822,26,Chinese,2.5
126,nwHd2MbIGz0SNG8GpFjekw,Phoenix,AZ,85020,33.5395733,-112.048346,334,Mexican,4
127,YWjfWHizWgHSsAPGfQChXw,Phoenix,AZ,85040,33.3787187,-111.979667,23,American,2
128,qgHx71_UAWHRySTPMaAJqw,Phoenix,AZ,85017,33.5123661,-112.1141992,53,American,3
131,m8qJtl3l6QXJMnNxN6LQRQ,Phoenix,AZ,85018,33.4951613,-112.0041452,9,American,3.5
132,Xqur5VuobC9WW3crdxZPBw,Las Vegas,NV,89120,36.0707165,-115.0911257,98,Chinese,3.5
136,Km7BcCSXb78oymx-Ek2P9w,Las Vegas,NV,89119,36.086668,-115.172986,4,Mexican,5
137,T-KniGykrZ46ZC9plOTspw,Phoenix,AZ,85013,33.4963856,-112.0839832,460,Mexican,4.5
139,AnXovUgUHJap3QaDRnjL1w,Las Vegas,NV,89121,36.1161975,-115.092388,331,American,4
141,VYOtofDcgJIV5-vPUd4sZA,Las Vegas,NV,89110,36.16691273,-115.063594,42,American,3
142,B19KKE75ZxqoR3EDuvA1qw,Las Vegas,NV,89102,36.1586341,-115.2030893,69,Chinese,3
143,nM9NwHXy3EadihjJTG2i5w,Las Vegas,NV,89121,36.10077747,-115.1018145,193,Mexican,4.5
144,FTdEGDDVRrDmVbzHmC91wQ,Phoenix,AZ,85022,33.64086681,-112.0585589,60,American,4
145,XAt9Km4EIM6EE7LXwfB2Vg,Phoenix,AZ,85022,33.6400298,-112.031334,11,American,3
146,p5rpYtxS5xPQjt3MXYVEwA,Las Vegas,NV,89123,36.0262317,-115.1192573,635,American,4
147,SknYYIK1rBNgYqNl4tYUPA,Las Vegas,NV,89123,36.055748,-115.1170812,31,Mexican,3.5
149,j2w6wlRmlaZaaErQus8ElQ,Las Vegas,NV,89183,36.01408718,-115.1351311,243,Mediterranean,4.5
152,mjhwLcuoenVW8oFhcNmlHA,Las Vegas,NV,89117,36.15862089,-115.2909366,306,American,3
153,2ADoawEfSAZpnQSwVEo5Ig,Phoenix,AZ,85023,33.6426268,-112.1003364,15,American,2
154,jFVcpqn1Q85AEDGQDv91mg,Phoenix,AZ,85022,33.63952671,-112.0328321,17,Mediterranean,4
157,1BtNZszIr8LvtPOhN0X4Mw,Las Vegas,NV,89109,36.11792342,-115.1607698,26,American,2.5
158,HiqYus6muaBFlZtHhES7XQ,Las Vegas,NV,89141,35.99874124,-115.2055067,24,Mexican,2
159,7Xw_vv-ekUL2sTqipnKT0g,Las Vegas,NV,89123,36.054301,-115.171477,398,American,2.5
161,ZhLSAiRj9kANxf8m2SBfRA,Las Vegas,NV,89183,36.01198464,-115.1535986,560,Thai,4.5
163,OMUe6NNOFEe0VdAouIqAuA,Las Vegas,NV,89102,36.1286741,-115.1988504,39,Mediterranean,3.5
165,k-oXgIdQlBe9rn8rWfRUdw,Las Vegas,NV,89107,36.17580488,-115.2223258,31,Mediterranean,4.5
166,S1N5-ZXwR4fUIPs6dLnBYQ,Las Vegas,NV,89146,36.125587,-115.211199,318,Vietnamese,3.5
167,Zrx25j1M794Nh8fUGB8E9A,Las Vegas,NV,89103,36.102704,-115.202215,211,American,2.5
171,QS7_BPmaBNvznOMhcVBemg,Las Vegas,NV,89109,36.1362575,-115.1512526,35,Vietnamese,3
172,zEd3Ex_k3vHiBbBPWRrO7Q,Las Vegas,NV,89128,36.19761517,-115.2601344,34,Chinese,2.5
174,pxv5jBUOgsg6Rf6Z88e4mg,Phoenix,AZ,85018,33.494594,-111.9893448,337,American,4
176,uHUcYpGlcdlu5m7oiZGY6w,Las Vegas,NV,89119,36.114859,-115.136639,345,Asian Fusion,3
177,5JjGTaZkHbbjBrzBODcsAQ,Las Vegas,NV,89123,36.055832,-115.120023,268,Japanese,4
178,sU1sSEOHvd4ex72miOKMEQ,Phoenix,AZ,85008,33.47380834,-111.9867759,25,American,3.5
181,etzDsNjkCyQBoJcU2a3U-g,Las Vegas,NV,89123,36.01982066,-115.118058,80,American,3
182,GT9Hx_Na0vH3Na7ym9dp4A,Las Vegas,NV,89104,36.1439838,-115.0774281,15,American,4
183,cJjUslSTMtUU2lG8BKCX6A,Phoenix,AZ,85048,33.30582456,-112.0536254,4,Mexican,2
184,mZI_wVrLOjz4M-QIC9n-jA,Las Vegas,NV,89119,36.1008854,-115.1384919,35,American,2.5
187,FNe5PPA9pyj8FjcDefCBpg,Las Vegas,NV,89102,36.143956,-115.1930886,648,Thai,4
188,5OLtY1-xR6LjeH3kJGJ5UA,Las Vegas,NV,89104,36.1580819,-115.0899685,3,African,4.5
189,TW58a4UkMcksdfQ7znUqsA,Las Vegas,NV,89139,36.0447183,-115.2427053,308,Korean,4
193,EqUlVPI8t9A96BIvWdW1pw,Las Vegas,NV,89129,36.237869,-115.248219,53,American,3.5
194,SWZ_GqiaAoc4JoUOosF0mg,Las Vegas,NV,89119,36.10069246,-115.1394494,43,American,4
196,wMCpQoNfwX3B3KfJUfdwAg,Phoenix,AZ,85043,33.462309,-112.169006,3,Mexican,4.5
198,UANNbspNsQEFUay5nALZYw,Las Vegas,NV,89120,36.0724028,-115.101393,47,Mexican,3
200,OVTZNSkSfbl3gVB9XQIJfw,Las Vegas,NV,89109,36.121237,-115.174105,1252,American,3
202,JDZ6_yycNQFTpUZzLIKHUg,Las Vegas,NV,89109,36.13491543,-115.175822,1694,Mexican,4
203,#NAME?,Phoenix,AZ,85053,33.6248167,-112.1310047,170,Thai,4
205,O0DxNujKaN-KIfcgbV3MgA,Las Vegas,NV,89104,36.14453102,-115.1375459,123,American,4
206,Ysd8pj0sZpfPq0xNQd8fXA,Phoenix,AZ,85034,33.450595,-112.029835,9,Mexican,2.5
207,Qb1tuREKTsyVKO6DiDQXgg,Phoenix,AZ,85083,33.7135776,-112.2023003,126,Mexican,3
212,XWafv9_J7TUOO4PbEcIFJA,Phoenix,AZ,85023,33.6402587,-112.0936145,25,Mexican,4
213,JIfSollg32ifUzTw2K4PDQ,Las Vegas,NV,89101,36.1745608,-115.137042,127,Mexican,4.5
215,jjJ06LdxITpFaz_EQaEvWQ,Las Vegas,NV,89109,36.1314994,-115.1641624,3,American,2.5
220,hdZ_4Vd9opGm5UajNUuhwA,Las Vegas,NV,89109,36.1023786,-115.1745465,113,Italian,3.5
223,LCf4MZQcwgtniQUJ-MQBZA,Las Vegas,NV,89121,36.1139613,-115.0909203,44,American,4
225,#NAME?,Las Vegas,NV,89109,36.091869,-115.175256,121,Japanese,3
226,G-5kEa6E6PD5fkBRuA7k9Q,Las Vegas,NV,89109,36.11505921,-115.172109,2349,Italian,3.5
228,Bq0LXZcOrZdkeM4kCy31lw,Phoenix,AZ,85051,33.55199684,-112.1365261,3,Mediterranean,2.5
233,B198jEItQSF7xQhRADUW6Q,Phoenix,AZ,85008,33.476956,-111.986944,18,Mexican,3
235,QnZ7YUoAJNP99oFkS9IpXw,Phoenix,AZ,85053,33.60918092,-112.1331526,115,Italian,4
239,Kh1tvb7vDDp84bxdYyiOEA,Las Vegas,NV,89118,36.10003456,-115.1984079,6,Mexican,5
243,sByhyN_S2FgNnPl5pqY0Ow,Phoenix,AZ,85019,33.52437397,-112.1499981,52,Italian,4
246,jaoIDcqPZVXwwSPXFRSC-Q,Phoenix,AZ,85003,33.45825423,-112.0752206,40,American,4
247,WRbBmXMHmdWOkeGp21OoeA,Las Vegas,NV,89169,36.1249276,-115.1354186,5,Italian,5
248,Ehy00JWQixgoXzisVKhvag,Las Vegas,NV,89158,36.10767672,-115.1750617,754,Italian,4
249,q-3Q3t3RS4qiW51fDIEvyQ,Phoenix,AZ,85023,33.6394533,-112.081284,88,Chinese,2.5
250,KWxTv7S3cWaMhv3QiW5C2g,Las Vegas,NV,89111,36.08040931,-115.133261,17,Mediterranean,2
253,cgZOP1ZUBOZmEQMSJ53oiQ,Las Vegas,NV,89117,36.14296907,-115.2801029,187,Italian,4.5
255,H9ZYzsVPmjeV7lnQYx0MGg,Phoenix,AZ,85015,33.5098255,-112.1094222,42,American,3.5
256,5t9kTG9DakuamJgY65HA7w,Las Vegas,NV,89121,36.1153932,-115.1140608,47,Mexican,2.5
258,0U0odWV4aGw2k-bIUKhO2w,Phoenix,AZ,85040,33.40692095,-112.0379489,18,American,4
259,inuW6Gl02Mf8G5RRk39_lw,Las Vegas,NV,89102,36.1261759,-115.1909378,174,Thai,4
260,sLKpRaFns5Uqw1IEzK6obA,Phoenix,AZ,85016,33.4953677,-111.9940738,376,Greek,4.5
261,jCNBZnkIFv_0omLVTgNR6Q,Las Vegas,NV,89119,36.0712104,-115.1341397,306,Indian,4.5
262,FfHpj1QcW510pA3CS354xw,Las Vegas,NV,89109,36.12391357,-115.1715178,225,American,2.5
264,0QSnurP5Ibor2zepJmEIlw,Las Vegas,NV,89147,36.124897,-115.2791672,141,Mexican,4
266,K-0pdH5hZQVeoUmYSNygQw,Las Vegas,NV,89104,36.157312,-115.1151063,32,Mexican,4.5
267,5OZS7Sz7oX6XBL7KZE0G1Q,Phoenix,AZ,85013,33.4799381,-112.0808931,87,Thai,3.5
268,I_WWH2vYccjz-QxW3u1zJA,Phoenix,AZ,85033,33.4815508,-112.2196069,56,Chinese,3
269,ET8WuErpImo0zxS673gLxw,Las Vegas,NV,89136,36.080972,-115.135804,35,American,4
270,ZcNe9rEAZVObPKFwtM8XaA,Las Vegas,NV,89108,36.1969016,-115.2062221,27,American,3
271,vmg_VdqXVOVhUoacU2pfdw,Las Vegas,NV,89123,36.0342435,-115.1714093,135,American,4
272,N8uKQ5Vdb1LAh-qXT_25Rg,Phoenix,AZ,85012,33.5105022,-112.0722487,792,Italian,4
273,wuQDMDlqM17jQNo0lYQZ7g,Las Vegas,NV,89101,36.169326,-115.140097,907,American,4
275,mDiFWhywAziq9SKnj6am_Q,Phoenix,AZ,85020,33.5763074,-112.065576,162,Italian,4
276,aBmuthrQ7yP8cnbgkxU5Ug,Phoenix,AZ,85016,33.4880275,-112.0299544,60,Greek,3
278,rcaPajgKOJC2vo_l3xa42A,Las Vegas,NV,89109,36.12095546,-115.1698532,3570,French,4
279,lZ5rd3YxWTcCPJi45hvw7w,Phoenix,AZ,85027,33.6677321,-112.1240663,57,American,3
287,pXYkQYvoy3z6avJSNeF9Uw,Las Vegas,NV,89130,36.22004453,-115.2123742,12,American,4
290,dupc1Q5bl1gwTheS1ZqEig,Las Vegas,NV,89109,36.1362575,-115.1512526,41,American,2.5
292,Fj0zObYm5McHcbtE6MSU0A,Las Vegas,NV,89110,36.1692249,-115.0611449,63,Thai,3.5
293,kP2wC0luve3mT5fcdrA3nQ,Phoenix,AZ,85016,33.495343,-112.022973,168,Chinese,4
294,x2Y_MD5pCTRyaf9dD_ZpGw,Las Vegas,NV,89169,36.10753322,-115.1530606,13,Asian Fusion,3
296,NpozCEWra9PkYtxCtCPr6Q,Phoenix,AZ,85034,33.43520148,-111.9974615,3,American,2.5
297,uyaBt65Vk_GhSm7dNSzfkA,Phoenix,AZ,85009,33.4296382,-112.1317938,3,Mexican,4
299,hYX0z2C6Th5XmcrKOP31fQ,Las Vegas,NV,89119,36.068132,-115.17776,314,American,4
303,1GoI8TV5ngDEqoTmDK6Iow,Phoenix,AZ,85009,33.5112969,-112.0470727,152,Mexican,3.5
306,eHXUyMf64ynMzHaf0LdGgg,Las Vegas,NV,89123,36.041104,-115.1208125,136,American,4.5
308,20P1JukOLfR023mnrDeXlw,Las Vegas,NV,89044,36.1891373,-115.2596473,23,Mexican,3
312,LEzaRCdhDfO2eM75HZNnUQ,Las Vegas,NV,89123,36.0428966,-115.1520552,328,Japanese,4
317,3C5Z9homtzkWHouH2BHXYQ,Phoenix,AZ,85012,33.48774674,-112.0656647,1092,Mexican,4
319,2jx_SaBzvIdIwul4JoY9IA,Phoenix,AZ,85042,33.3923824,-111.9802861,44,Chinese,3.5
320,966W5oXOBW0ZWhNYy0yjcA,Las Vegas,NV,89146,36.12754745,-115.2252169,519,Chinese,4
321,qRymrsLmlA34bC8PvNoujg,Las Vegas,NV,89149,36.2892014,-115.2873343,461,Greek,4
322,aYlZVqlqf8QRd9EW0iRC4w,Phoenix,AZ,85018,33.480391,-111.978627,30,Mexican,3
323,hH8002bWtOFYtLgarFZBsg,Phoenix,AZ,85021,33.5745287,-112.1163084,294,American,4.5
325,H5Y6o9H4rtxbHJFgLqI6Fw,Las Vegas,NV,89108,36.198756,-115.2425637,154,American,3
327,rHmILK3NBQWiRQMr9Sk8ew,Las Vegas,NV,89128,36.1994962,-115.2838739,24,American,4
330,EyoTq9dd4oKXhXND_imOzA,Las Vegas,NV,89119,36.104435,-115.1367851,53,Asian Fusion,4.5
335,xzlJ6hhfDSEF0d6ebSKRAg,Phoenix,AZ,85021,33.45312,-112.0845699,3,Hawaiian,4.5
338,xhXZYjdlV_f7eklYZs5vcQ,Phoenix,AZ,85018,33.4955743,-112.0122239,25,American,4
339,sjO0HUb3VdYGQdHxrTnKUw,Las Vegas,NV,89115,36.2400326,-115.0614211,5,Mexican,3
342,q8zJESZE4ywTGS2pEQIrGQ,Las Vegas,NV,89101,36.186634,-115.115631,19,Mexican,3.5
343,7cK9uEV09iPmsTqOqmY3kQ,Phoenix,AZ,85018,33.50205325,-111.9957802,743,Italian,4.5
345,rTN9PfZFa3vmfyPZd-u9sw,Las Vegas,NV,89108,36.2138478,-115.2426033,18,American,3.5
346,JdSF_NucmJZcl1eNlNXZ0Q,Phoenix,AZ,85034,33.4234013,-112.0473703,18,Greek,4.5
348,oTUpxF_E9D1n_LhN5N0NXg,Las Vegas,NV,89121,36.13775,-115.064997,20,American,2
350,u3nwislXMKKwkpHAXAArbQ,Las Vegas,NV,89146,36.1258098,-115.2230979,282,Chinese,3.5
353,fT6Uwl6abRQfiNgxre_qbg,Phoenix,AZ,85014,33.50980204,-112.0610866,946,Asian Fusion,4
354,wkKlpSx3OcoGJiv7p8VZzw,Las Vegas,NV,89102,36.1266955,-115.2013006,205,American,4.5
355,YRyYbOSwvHkZsZOLv98oQg,Las Vegas,NV,89109,36.10939219,-115.173773,932,Greek,4
356,d9N9po3OjG4AjyxOylFnmQ,Las Vegas,NV,89104,36.1585667,-115.1247518,11,Mexican,3
357,h6neYN7OZVt9_ok2bAx6BA,Phoenix,AZ,85051,33.56885001,-112.1181473,44,American,2.5
362,HoLRI8TigyvNfIHdQ4ChDA,Las Vegas,NV,89130,36.24042,-115.233322,15,Mexican,3
365,9AnvV8V-UvA_rFhMCr_Dlw,Las Vegas,NV,89147,36.1126971,-115.2781721,131,Indian,4
368,gOOfBSBZlffCkQ7dr7cpdw,Las Vegas,NV,89109,36.1226902,-115.1701939,264,Mexican,4.5
369,NEZCr0zLIPNYWNF57KsJJQ,Las Vegas,NV,89121,36.128595,-115.109267,98,Japanese,4
370,Fkj8vJocYilePMZv2y54WA,Las Vegas,NV,89123,36.0285275,-115.1353734,114,Mexican,3.5
373,6_KCUxu2kOgP-pRnSNXG8Q,Las Vegas,NV,89102,36.1427819,-115.1747468,44,Chinese,3
377,nCjsK9-_xH0bxuEqdAc8TA,Las Vegas,NV,89119,36.0838389,-115.148385,11,American,2.5
378,aT_SsfZ6GQgJGyuIv1Hapw,Las Vegas,NV,89109,36.121774,-115.169229,1032,French,4
387,c5TOGBUCCUUNBPM7h_KbmQ,Las Vegas,NV,89139,36.04601894,-115.2440145,140,Mexican,4
388,vl1aHp6pvnSmpoRQShWLjg,Las Vegas,NV,89135,36.15680537,-115.3341114,526,American,3.5
389,5fSz08wFcBhCeCXh7sxG5A,Las Vegas,NV,89169,36.098988,-115.161644,8,American,4.5
391,UE3AvVnaPEBPneVahYT2eA,Phoenix,AZ,85054,33.655566,-111.92641,835,American,4
392,BjH8Xepc10i6OhCDQdX6og,Las Vegas,NV,89109,36.102795,-115.168508,943,American,3.5
395,Za7NNCyOPnwem4xATpKSbg,Las Vegas,NV,89102,36.14517489,-115.1759789,15,Mexican,3
396,B1jlDEUrVyPgR4vOMnaiKQ,Phoenix,AZ,85034,33.4360502,-111.994973,22,American,2
397,Ziqzfvpp2cpZAu0OwjiD5w,Las Vegas,NV,89103,36.1164467,-115.1848942,3,Japanese,1.5
399,OM31QC8tyTOXZgK0FDz_hw,Las Vegas,NV,89122,36.10208156,-115.0531421,26,Mexican,3
401,HJEaoW2OUTeZuQcygYUpqQ,Phoenix,AZ,85034,33.43107227,-112.0646051,10,Mexican,4
403,uz_pOxt-IForHNBcwUscJw,Las Vegas,NV,89147,36.099561,-115.30696,25,American,4
404,YPK024huhY2np5hJ_5qWCw,Las Vegas,NV,89183,35.996832,-115.137164,47,American,4
405,LN0JGAl8Rr_r_5t_X8Kz6g,Las Vegas,NV,89104,36.14813295,-115.1557732,163,Italian,4
407,YhdWKWt3sx6YgMIILfh_Xw,Phoenix,AZ,85027,33.6539661,-112.1323768,15,American,3.5
409,pFQaji0idkrzv5J-qTQ82Q,Las Vegas,NV,89104,36.155011,-115.082821,620,American,3
411,T30RkAqYAtljfapSghHA1Q,Phoenix,AZ,85007,33.4363825,-112.0983414,4,Chinese,4
412,_gMR_YdsMwwKy63-UwjdnA,Las Vegas,NV,89139,36.04447754,-115.2440028,40,Hawaiian,4
413,BQJokxJ4y4s57i7Mn65pvA,Las Vegas,NV,89109,36.1022507,-115.1699679,230,Mexican,3.5
416,Nsi49BE_XsjJ0oOXwhH8hA,Las Vegas,NV,89109,36.14217661,-115.13641,56,Chinese,2
419,bPfvv7TvMLxxA3__VomsxQ,Las Vegas,NV,89108,36.2023801,-115.2232141,30,American,4
423,2SfSzEd3B7WimeZac23zhg,Las Vegas,NV,89144,36.16699696,-115.2865248,539,Italian,4
424,q-zZgXKAQFLEgMp9ZNllgQ,Las Vegas,NV,89103,36.11499431,-115.2014029,1000,Japanese,4
426,0APIz0O0c_XBDXQIWkJimA,Las Vegas,NV,89103,36.1148137,-115.2031568,5,Mediterranean,4
427,oH84VXzObXpaC5ia2Tenpw,Las Vegas,NV,89104,36.1581927,-115.1406783,36,Mexican,4
428,A4yJu-Nq1n6nuLP6QKZkrw,Las Vegas,NV,89129,36.218674,-115.256388,53,Mexican,2.5
429,tMYYSWyTppDcF070Hmy-kQ,Las Vegas,NV,89135,36.15179146,-115.3327068,377,American,3.5
432,3pSUr_cdrphurO6m1HMP9A,Las Vegas,NV,89102,36.1263711,-115.1917692,240,Asian Fusion,5
434,pjpUOlJLlkIxBZ5BquA2PA,Phoenix,AZ,85004,33.4558709,-112.0722832,598,Italian,4.5
436,7RidnmyYyH0cfcX2x7buag,Las Vegas,NV,89135,36.107854,-115.324773,14,Italian,4
437,F-PmkzyN80fVcNMN8Z2aiw,Phoenix,AZ,85028,33.5834449,-111.9770187,258,Mexican,3.5
439,ept9mIlqGIsemr6w0RczaA,Phoenix,AZ,85003,33.459014,-112.077468,331,Greek,3.5
443,jBh399TajGcH28Zo2J1pHw,Las Vegas,NV,89135,36.1518122,-115.3320001,456,American,3.5
445,d2IDbGP7tT8C6vBtxdpmLg,Las Vegas,NV,89135,36.0854286,-115.149927,42,Mexican,2.5
451,2g4ZTD3ePNSbDAvh6qAOKQ,Phoenix,AZ,85020,33.5708402,-112.0656524,591,Asian Fusion,4.5
452,HUKbH7r9TBJPri6LJbBKtw,Las Vegas,NV,89104,36.1500208,-115.1537167,116,Mexican,3
457,Md6895ZtS3FA8a0pUaH6nw,Las Vegas,NV,89109,36.102003,-115.175161,452,American,3
458,Xj7DIGRHEchJ-VVdISazQQ,Las Vegas,NV,89109,36.10732541,-115.176579,1042,Mexican,4
461,fq6qlXprwSzSUr0RKE_0rA,Las Vegas,NV,89109,36.12768339,-115.1690246,17,Mexican,3
462,h19bR52xQ9fQWGMTSbjnbw,Las Vegas,NV,89103,36.1011439,-115.2274256,125,Mediterranean,4.5
463,35tWXOOJpWB2feUAEJyJyg,Las Vegas,NV,89113,36.04285314,-115.1798487,7,Mexican,3.5
